# time_fs  P_UP  P_LP  P_GS  P_DS
4.850000000000000000e+02 3.731152681857414222e-01 6.233255762170063496e-01 0.000000000000000000e+00 3.559155597264633195e-03
4.875000000000000000e+02 3.611824955705067453e-01 6.353386650866433838e-01 0.000000000000000000e+00 3.478839342862141953e-03
4.900000000000000000e+02 3.500759593014153293e-01 6.465852513187344552e-01 0.000000000000000000e+00 3.338789379862703351e-03
4.925000000000000000e+02 3.400309367920273385e-01 6.536087180436352950e-01 0.000000000000000000e+00 6.360345164350286740e-03
4.950000000000000000e+02 3.306996963608592743e-01 6.557230622463198211e-01 0.000000000000000000e+00 1.357724139283372072e-02
4.975000000000000000e+02 3.212876563182957002e-01 6.573286903738440046e-01 0.000000000000000000e+00 2.138365330787336815e-02
5.000000000000000000e+02 3.111072714064449518e-01 6.646499396554703676e-01 0.000000000000000000e+00 2.424278893809726776e-02
5.025000000000000000e+02 3.003548270345927640e-01 6.795509831987585070e-01 0.000000000000000000e+00 2.009418976666165965e-02
5.050000000000000000e+02 2.900958694499158330e-01 6.973039087433271499e-01 0.000000000000000000e+00 1.260022180677156621e-02
5.075000000000000000e+02 2.813469677588795737e-01 7.110589885479479122e-01 0.000000000000000000e+00 7.594043693187293997e-03
5.100000000000000000e+02 2.744156381201551254e-01 7.180879414460384913e-01 0.000000000000000000e+00 7.496420433821347068e-03
5.125000000000000000e+02 2.690003218580279132e-01 7.214234391233578236e-01 0.000000000000000000e+00 9.576239018630593874e-03
5.150000000000000000e+02 2.643226699547265302e-01 7.261609629309813130e-01 0.000000000000000000e+00 9.516367114308086836e-03
5.175000000000000000e+02 2.590458139089066858e-01 7.348078284341872379e-01 0.000000000000000000e+00 6.146357656922811150e-03
5.200000000000000000e+02 2.517159207612932881e-01 7.459902191221561285e-01 0.000000000000000000e+00 2.293860116567686055e-03
5.225000000000000000e+02 2.417868797907249401e-01 7.570761899368910752e-01 0.000000000000000000e+00 1.136930272400692252e-03
5.250000000000000000e+02 2.300475349057090058e-01 7.674217581585343062e-01 0.000000000000000000e+00 2.530706935773138853e-03
5.275000000000000000e+02 2.178419854339170014e-01 7.784901446525472890e-01 0.000000000000000000e+00 3.667869913552577587e-03
5.300000000000000000e+02 2.060938715458293657e-01 7.908618679044940869e-01 0.000000000000000000e+00 3.044260549693371572e-03
5.325000000000000000e+02 1.951736475302038865e-01 8.021411510848740489e-01 0.000000000000000000e+00 2.685201384939803464e-03
5.350000000000000000e+02 1.851768915861498888e-01 8.090710805299679009e-01 0.000000000000000000e+00 5.752027883899954799e-03
5.375000000000000000e+02 1.758152741074153758e-01 8.119553738234133178e-01 0.000000000000000000e+00 1.222935206918977433e-02
5.400000000000000000e+02 1.663686631209784217e-01 8.157485032707483263e-01 0.000000000000000000e+00 1.788283360829181004e-02
5.425000000000000000e+02 1.564076685917379361e-01 8.254337138297288545e-01 0.000000000000000000e+00 1.815861757855207620e-02
5.450000000000000000e+02 1.464694609038577344e-01 8.405571612482848343e-01 0.000000000000000000e+00 1.297337784787603275e-02
5.475000000000000000e+02 1.375367742776666680e-01 8.554766241069119426e-01 0.000000000000000000e+00 6.986601615440908575e-03
5.500000000000000000e+02 1.300420877738361625e-01 8.650686390113293545e-01 0.000000000000000000e+00 4.889273214854295349e-03
5.525000000000000000e+02 1.238018353014793960e-01 8.693531987104612391e-01 0.000000000000000000e+00 6.844965988078103442e-03
5.550000000000000000e+02 1.185208976690944327e-01 8.725851360408365398e-01 0.000000000000000000e+00 8.893966290087826701e-03
5.575000000000000000e+02 1.137013356771588990e-01 8.787228453352892155e-01 0.000000000000000000e+00 7.575818987570877294e-03
5.600000000000000000e+02 1.083330980053491405e-01 8.880384030623306169e-01 0.000000000000000000e+00 3.628498932339516321e-03
5.625000000000000000e+02 1.014647392282803373e-01 8.977061497885095998e-01 0.000000000000000000e+00 8.291109832288688555e-04
5.650000000000000000e+02 9.315394379967124883e-02 9.053655953382706567e-01 0.000000000000000000e+00 1.480460862076735801e-03
5.675000000000000000e+02 8.436343437984715476e-02 9.117614445438384507e-01 0.000000000000000000e+00 3.875121076333607004e-03
5.700000000000000000e+02 7.592537534621138229e-02 9.194132608182115085e-01 0.000000000000000000e+00 4.661363835596617038e-03
5.725000000000000000e+02 6.806797247002459306e-02 9.288172913104838502e-01 0.000000000000000000e+00 3.114736219511091923e-03
