# time_fs  Nvib_ground  Evib_ground_eV  Nvib_excited  Evib_excited_eV
1.427500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 4.687122277477010490e-01 9.327373332179252075e-02
1.430000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 4.738993899165990786e-01 9.430597859340322797e-02
1.432500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 4.870815126319896771e-01 9.692922101376595656e-02
1.435000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 5.038822730583710774e-01 1.002725723386158480e-01
1.437500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 5.187352759756495013e-01 1.032283199191542516e-01
1.440000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 5.252553182196464387e-01 1.045258083257096515e-01
1.442500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 5.192614518477639551e-01 1.033330289177050443e-01
1.445000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 5.029774074920441151e-01 1.000925040909167868e-01
1.447500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 4.857642504588089438e-01 9.666708584130299931e-02
1.450000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 4.791200478750722302e-01 9.534488952713937593e-02
1.452500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 4.887447716742085446e-01 9.726020956316751287e-02
1.455000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 5.095462037299339775e-01 1.013996945422568768e-01
1.457500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 5.282561670647174523e-01 1.051229772458787820e-01
1.460000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 5.327322732949346662e-01 1.060137223856920108e-01
1.462500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 5.206815617596725065e-01 1.036156307901748286e-01
1.465000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 5.002970316671967455e-01 9.955910930177216955e-02
1.467500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 4.829371762155300063e-01 9.610449806689047580e-02
1.470000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 4.754230048510319495e-01 9.460917796535536772e-02
1.472500000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 4.782067702456114233e-01 9.516314727887667524e-02
