# time_fs Evib_g_n0_eV Evib_g_n1_eV Evib_g_n2_eV Evib_g_n3_eV Evib_g_n4_eV Evib_e_n0_eV Evib_e_n1_eV Evib_e_n2_eV Evib_e_n3_eV Evib_e_n4_eV
5.650000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.160690589811237530e-02 5.718068156469977036e-05 3.168936143637451781e-07 1.248404564223078383e-09
5.675000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.208449134076278728e-02 7.415645881444039237e-05 4.409756571588379913e-07 1.377147476226375047e-09
5.700000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.189274318004258424e-02 8.993941642225357998e-05 7.676545754560683147e-07 4.237863867061036132e-09
5.725000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.128929830472819917e-02 9.594755643468026859e-05 9.755726566307995637e-07 6.168464069816306090e-09
5.750000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.087964607976938378e-02 9.215301756897224762e-05 8.647207724017064585e-07 4.453033225336064118e-09
5.775000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.119374478094336947e-02 8.604894699320431292e-05 6.758985944652544911e-07 2.963140819932005442e-09
5.800000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.225825433519478674e-02 8.337769701378243707e-05 6.181259494989898216e-07 2.787868117603896108e-09
5.825000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.356608306468185865e-02 8.504663784503973753e-05 6.164995494446217818e-07 2.786030033256799572e-09
5.850000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.448614113627185090e-02 8.509705103634819100e-05 6.071660825782514781e-07 2.534476111416967379e-09
5.875000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.471236262677623322e-02 7.320049898781267532e-05 5.828393563031721398e-07 2.896396410571212033e-09
5.900000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.436562221588247507e-02 4.911573843544163906e-05 4.095210788972883879e-07 2.560959524733046553e-09
5.925000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.379052234560774179e-02 2.674653645731178781e-05 1.508842428107110039e-07 6.490181183622495944e-10
5.950000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.333320774276028547e-02 1.767696879033627460e-05 5.978140521189337611e-08 8.879104250757879872e-11
5.975000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.323816483711441810e-02 2.184704251069432185e-05 1.561946695195267256e-07 8.309553966668426083e-10
6.000000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.361467523696338805e-02 3.422030449712754589e-05 2.974707145591939188e-07 1.532031021086256813e-09
6.025000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.440500527018284876e-02 4.893264679744979223e-05 3.978871278859786011e-07 1.838245785806205252e-09
6.050000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.534824060335013132e-02 6.156267531468488728e-05 4.117210723866879652e-07 1.933421839776618693e-09
6.075000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.601609228581862679e-02 7.403452605718589309e-05 4.044018280851666831e-07 1.327864507367720867e-09
6.100000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.601702960781054202e-02 8.886006352780694310e-05 6.013105700220890101e-07 2.303944655212761568e-09
6.125000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.530301645900977225e-02 1.003274353300875063e-04 9.285467054432823035e-07 5.532864382673552719e-09
6.150000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.431043109278862441e-02 1.019426067651833931e-04 1.002384947752593914e-06 5.775737559708885819e-09
6.175000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.372095644080121635e-02 9.671216183389440789e-05 8.192262026331989483e-07 3.823120855806901568e-09
6.200000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.396407241766564458e-02 9.237925084367997906e-05 6.919929258357511703e-07 3.019979062977796540e-09
6.225000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.487858452704666892e-02 9.275328833736252890e-05 6.893700370544962603e-07 3.255651264275004495e-09
6.250000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.585456101857177766e-02 9.482311681398036026e-05 6.774055119553996400e-07 3.076177655749419863e-09
6.275000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.631718361947169363e-02 8.855030104926941384e-05 6.454937827787331863e-07 2.744695312149223926e-09
