# time_fs P_g_n0 P_g_n1 P_g_n2 P_g_n3 P_g_n4 P_e_n0 P_e_n1 P_e_n2 P_e_n3 P_e_n4
2.125000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.799420507346035203e-01 1.198906430239088383e-01 1.666402126333990782e-04 6.645433206967343289e-07 1.485531830684435318e-09
2.150000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.797268102324909966e-01 1.200433179623909830e-01 2.286205307394306382e-04 1.246579191749853982e-06 4.695186014722925439e-09
2.175000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.759008662603761097e-01 1.237934036847261887e-01 3.036533685579758334e-04 2.066628499300397672e-06 1.005783898920472367e-08
2.200000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.709311146970657447e-01 1.287178895149347635e-01 3.487221839180046183e-04 2.263371457384218713e-06 1.023262294849341736e-08
2.225000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.682918639443296671e-01 1.313793318048368519e-01 3.271352117939818659e-04 1.663337502181470147e-06 5.701536019694761455e-09
2.250000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.699568196614757554e-01 1.297878386907208581e-01 2.542557257119740189e-04 1.082825779487151574e-06 3.096310545913270552e-09
2.275000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.749905469094249044e-01 1.248287966020065060e-01 1.798103178790846012e-04 8.432137069831396952e-07 2.956981409945263115e-09
2.300000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.804654444621802245e-01 1.194040565356047495e-01 1.298171156917156009e-04 6.798228222217815234e-07 2.063700706956982311e-09
2.325000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.837537932340788771e-01 1.161467806986656026e-01 9.888599161598577488e-05 5.381753950504456726e-07 1.900244798754087249e-09
2.350000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.840399948668288266e-01 1.158812617974772918e-01 7.833514284160250694e-05 4.065090720182354816e-07 1.683780805538767464e-09
2.375000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.821100484977094647e-01 1.178223913814940432e-01 6.731936905410189147e-05 2.401518519647551554e-07 5.998912548230823939e-10
2.400000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.793728198186805400e-01 1.205534055376070030e-01 7.356551097111266205e-05 2.087894208063077811e-07 3.433211411369092638e-10
2.425000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.772697816575449892e-01 1.226287031403445471e-01 1.010830809983029484e-04 4.306178314312719014e-07 1.503281396225852420e-09
2.450000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.771028893909098567e-01 1.227653677297498025e-01 1.310790023891124909e-04 6.612854527783894836e-07 2.591499612520117938e-09
2.475000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.796953862922700651e-01 1.201644844276672508e-01 1.394005866589020405e-04 7.265007668862192058e-07 2.192637499820805815e-09
2.500000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.847471668814728130e-01 1.151199432375249049e-01 1.322391168438419263e-04 6.485640662920136667e-07 2.200092730922346461e-09
2.525000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.904843809663706145e-01 1.093781696809946052e-01 1.369007815684385155e-04 5.470111669767561163e-07 1.559900109376126769e-09
